hospital_name,location
"Cloudnine Hospitals, Vijaya Raghava Road, TNagar",Chennai
Dr. Mohan’s Diabetes Specialities Centre[4],Chennai
Fortis Malar Hospital,Chennai
Global Hospitals & Health City,Chennai
Government General Hospital,Chennai
Government Hospital of Thoracic Medicine,Chennai
Government Institute of Rehabilitation Medicine,Chennai
Government multi-super speciality hospital,Chennai
Government Royapettah Hospital,Chennai
Stanley Medical College and Hospital,Chennai
Hindu Mission Hospital,Chennai
Kilpauk Medical College Hospital,Chennai
Madras Medical Mission,Chennai
MIOT Hospital,Chennai
National Institute of Siddha,Chennai
Perambur railway hospital,Chennai
Regional Institute of Ophthalmology and Government Ophthalmic Hospital,Chennai
Sankara Nethralaya,Chennai
Sir Ivan Stedeford Hospital,Chennai
Sri Ramachandra Medical College and Research Institute,Chennai
"Sundaram Medical Foundation (SMF Hospital), Anna Nagar",Chennai
Tamil Nadu Government Dental College and Hospital,Chennai
Voluntary Health Services,Chennai
Aravind Eye Hospital,Coimbatore
Dr. Mohan’s Diabetes Specialities Centre,Coimbatore
PSG Institute of Medical Sciences & Research,Coimbatore
Sankara Eye Foundation,Coimbatore
Sri Ramakrishna Hospital,Coimbatore
Apollo Hospitals,Madurai
Aravind Eye Hospital,Madurai
Dr. Mohan’s Diabetes Specialities Centre,Madurai
Aravind Eye Hospital,Salem
Vasan Eye Care Hospital,Salem
Vinayaka Mission Hospital,Salem
Sri Narayani Hospital & Research Centre Melvisharam,Vellore
Christian Medical College & Hospital,Vellore
"Dr. Mohan’s Diabetes Specialities Centre, Katpadi",Vellore
Government Vellore Medical College Hospital,Vellore
Vasan Eye Care Hospital,Vellore
"Divisional Railway Hospital, Golden Rock",Tiruchirappalli
Adiparasakthi Hospital,Tirunelveli
Krishna Hospital,Tirunelveli
Shifa Hospital,Tirunelveli
Catherine Booth Hospital,Nagercoil
Little Flower Hospital,Nagercoil
Dr. Jeyasekharan Hospital & Nursing Home,Nagercoil
"Yashoda Hospitals, Malakpet, Secunderabad, Somajiguda",Hyderabad
"Dr. Mohan’s Diabetes Specialities Centre, Domalguda & Jubilee Hills",Hyderabad
"Durgabai Deshmukh Hospital, Vidyanagar",Hyderabad
"Fernandez Hospital, Bogulkunta",Hyderabad
L. V. Prasad Eye Institute,Hyderabad
LifeSpring Hospitals,Hyderabad
"National Institute of Mentally Handicapped, Newbowenpally",Hyderabad
"Nizam's Institute of Medical Sciences, Somajiguda",Hyderabad
"Osmania General Hospital, Afzal Gunj",Hyderabad
"Sarojini Devi Eye Hospital, Mehidipatnam",Hyderabad
Mahatma Gandhi Memorial Hospital,Warangal
"Government General Hospital, Nizamabad",Nizamabad
Tripura Medical College & Dr. B.R. Ambedkar Memorial Teaching Hospital,Tripura
Agartala Government Medical College,Tripura
Jawaharlal Nehru Medical College (AMU),Aligarh
KK Hospital,Aligarh
Kamla Nehru Memorial Hospital,Allahabad
Hallet Hospital,Kanpur
Ganesh Shankar Vidyarthi Memorial Medical College,Kanpur
Regency Hospital,Kanpur
J L Rohatgi Memorial Eye Hospital,Kanpur
Rama Medical College,Kanpur
Chhatrapati Shahuji Maharaj Medical University,Lucknow
Mayo Hospital,Lucknow
Sahara Hospital,Lucknow
SGPGI,Lucknow
Dr. Mohan’s Diabetes Specialities Centre,Lucknow
Medanta Hospital,Lucknow
Chandan Hospital,Lucknow
Dr.Rammanohar Lohiya Institute of Medical Science,Lucknow
Teerthanker Mahaveer Medical College & Research Centre,Moradabad
Sir Sunderlal Hospital  (IMS BHU),Varanasi
Burdwan Medical College Hospital,Burdwan
Nightingale Nursing Home,Burdwan
"The Mission Hospital, Durgapur",Durgapur
Bidhannagar Sub-Divisional Hospital,Kolkata
Calcutta National Medical College,Kolkata
"Columbia Asia Hospital, Salt Lake",Kolkata
Desun Hospital & Heart Institute,Kolkata
IPGMER and SSKM Hospital,Kolkata
Kolkata Medical College Hospital,Kolkata
KPC Medical College and Hospital,Kolkata
Medica Superspecialty Hospital,Kolkata
Nil Ratan Sarkar Medical College and Hospital,Kolkata
Peerless Hospital,Kolkata
R. G. Kar Medical College and Hospital,Kolkata
Sankara Nethralaya,Kolkata
Suri Sadar Hospital,Suri
